State,Age Group,Population
Alabama,65+,834700
Alabama,Adults 19-25,414500
Alabama,Adults 26-34,549500
Alabama,Adults 35-54,1195300
Alabama,Adults 55-64,645000
Alabama,Children 0-18,1128100
Alaska,65+,91500
Alaska,Adults 19-25,65300
Alaska,Adults 26-34,97500
Alaska,Adults 35-54,172900
Alaska,Adults 55-64,92800
Alaska,Children 0-18,181700
Arizona,65+,1293600
Arizona,Adults 19-25,656800
Arizona,Adults 26-34,860500
Arizona,Adults 35-54,1708100
Arizona,Adults 55-64,877500
Arizona,Children 0-18,1701600
Arkansas,65+,505700
Arkansas,Adults 19-25,253500
Arkansas,Adults 26-34,335600
Arkansas,Adults 35-54,723700
Arkansas,Adults 55-64,383200
Arkansas,Children 0-18,720800
California,65+,5739000
California,Adults 19-25,3539800
California,Adults 26-34,5288800
California,Adults 35-54,10152200
California,Adults 55-64,4751600
California,Children 0-18,9171300
Colorado,65+,831300
Colorado,Adults 19-25,498900
Colorado,Adults 26-34,792000
Colorado,Adults 35-54,1488600
Colorado,Adults 55-64,706600
Colorado,Children 0-18,1294400
Connecticut,65+,610400
Connecticut,Adults 19-25,297800
Connecticut,Adults 26-34,390500
Connecticut,Adults 35-54,895300
Connecticut,Adults 55-64,510600
Connecticut,Children 0-18,748700
Delaware,65+,185200
Delaware,Adults 19-25,75900
Delaware,Adults 26-34,111000
Delaware,Adults 35-54,227200
Delaware,Adults 55-64,135700
Delaware,Children 0-18,205400
District of Columbia,65+,85300
District of Columbia,Adults 19-25,60600
District of Columbia,Adults 26-34,144700
District of Columbia,Adults 35-54,180800
District of Columbia,Adults 55-64,69200
District of Columbia,Children 0-18,130800
Florida,65+,4426900
Florida,Adults 19-25,1680200
Florida,Adults 26-34,2399400
Florida,Adults 35-54,5236000
Florida,Adults 55-64,2872900
Florida,Children 0-18,4376700
Georgia,65+,1493300
Georgia,Adults 19-25,917200
Georgia,Adults 26-34,1252700
Georgia,Adults 35-54,2744000
Georgia,Adults 55-64,1284300
Georgia,Children 0-18,2602500
Hawaii,65+,265000
Hawaii,Adults 19-25,96200
Hawaii,Adults 26-34,155600
Hawaii,Adults 35-54,342900
Hawaii,Adults 55-64,177500
Hawaii,Children 0-18,305800
Idaho,65+,283500
Idaho,Adults 19-25,148300
Idaho,Adults 26-34,210100
Idaho,Adults 35-54,423000
Idaho,Adults 55-64,218100
Idaho,Children 0-18,468000
Illinois,65+,1981300
Illinois,Adults 19-25,1070400
Illinois,Adults 26-34,1556300
Illinois,Adults 35-54,3193400
Illinois,Adults 55-64,1635400
Illinois,Children 0-18,2925600
Indiana,65+,1046300
Indiana,Adults 19-25,593300
Indiana,Adults 26-34,771600
Indiana,Adults 35-54,1628100
Indiana,Adults 55-64,870700
Indiana,Children 0-18,1601800
Iowa,65+,531600
Iowa,Adults 19-25,272600
Iowa,Adults 26-34,349600
Iowa,Adults 35-54,743900
Iowa,Adults 55-64,416000
Iowa,Children 0-18,746500
Kansas,65+,460300
Kansas,Adults 19-25,257400
Kansas,Adults 26-34,324900
Kansas,Adults 35-54,678500
Kansas,Adults 55-64,368000
Kansas,Children 0-18,722100
Kentucky,65+,732800
Kentucky,Adults 19-25,383900
Kentucky,Adults 26-34,491400
Kentucky,Adults 35-54,1096100
Kentucky,Adults 55-64,592200
Kentucky,Children 0-18,1023000
Louisiana,65+,721800
Louisiana,Adults 19-25,393800
Louisiana,Adults 26-34,552100
Louisiana,Adults 35-54,1113600
Louisiana,Adults 55-64,593300
Louisiana,Children 0-18,1123900
Maine,65+,277700
Maine,Adults 19-25,97100
Maine,Adults 26-34,142900
Maine,Adults 35-54,328000
Maine,Adults 55-64,208900
Maine,Children 0-18,247700
Maryland,65+,938700
Maryland,Adults 19-25,474900
Maryland,Adults 26-34,720900
Maryland,Adults 35-54,1559300
Maryland,Adults 55-64,811700
Maryland,Children 0-18,1369900
Massachusetts,65+,1135900
Massachusetts,Adults 19-25,581200
Massachusetts,Adults 26-34,875600
Massachusetts,Adults 35-54,1730600
Massachusetts,Adults 55-64,935300
Massachusetts,Children 0-18,1392200
Michigan,65+,1728600
Michigan,Adults 19-25,884100
Michigan,Adults 26-34,1151600
Michigan,Adults 35-54,2398300
Michigan,Adults 55-64,1391200
Michigan,Children 0-18,2211900
Minnesota,65+,891100
Minnesota,Adults 19-25,451900
Minnesota,Adults 26-34,690600
Minnesota,Adults 35-54,1387600
Minnesota,Adults 55-64,752800
Minnesota,Children 0-18,1340700
Mississippi,65+,474400
Mississippi,Adults 19-25,254000
Mississippi,Adults 26-34,315500
Mississippi,Adults 35-54,719900
Mississippi,Adults 55-64,376200
Mississippi,Children 0-18,727100
Missouri,65+,1024300
Missouri,Adults 19-25,504400
Missouri,Adults 26-34,721400
Missouri,Adults 35-54,1462200
Missouri,Adults 55-64,824200
Missouri,Children 0-18,1403400
Montana,65+,204100
Montana,Adults 19-25,88300
Montana,Adults 26-34,118100
Montana,Adults 35-54,245200
Montana,Adults 55-64,149100
Montana,Children 0-18,234600
Nebraska,65+,302600
Nebraska,Adults 19-25,164300
Nebraska,Adults 26-34,229300
Nebraska,Adults 35-54,448800
Nebraska,Adults 55-64,241300
Nebraska,Children 0-18,487200
Nevada,65+,493000
Nevada,Adults 19-25,250700
Nevada,Adults 26-34,396800
Nevada,Adults 35-54,795100
Nevada,Adults 55-64,381500
Nevada,Children 0-18,712700
New Hampshire,65+,244100
New Hampshire,Adults 19-25,102700
New Hampshire,Adults 26-34,150800
New Hampshire,Adults 35-54,339100
New Hampshire,Adults 55-64,213700
New Hampshire,Children 0-18,263700
New Jersey,65+,1438400
New Jersey,Adults 19-25,711700
New Jersey,Adults 26-34,1015000
New Jersey,Adults 35-54,2321300
New Jersey,Adults 55-64,1212800
New Jersey,Children 0-18,2000100
New Mexico,65+,373600
New Mexico,Adults 19-25,183500
New Mexico,Adults 26-34,238100
New Mexico,Adults 35-54,485800
New Mexico,Adults 55-64,269900
New Mexico,Children 0-18,490600
New York,65+,3200300
New York,Adults 19-25,1632400
New York,Adults 26-34,2537700
New York,Adults 35-54,4850700
New York,Adults 55-64,2579200
New York,Children 0-18,4108000
North Carolina,65+,1711300
North Carolina,Adults 19-25,870500
North Carolina,Adults 26-34,1192200
North Carolina,Adults 35-54,2635400
North Carolina,Adults 55-64,1345800
North Carolina,Children 0-18,2384500
North Dakota,65+,114000
North Dakota,Adults 19-25,74500
North Dakota,Adults 26-34,100400
North Dakota,Adults 35-54,169900
North Dakota,Adults 55-64,93200
North Dakota,Children 0-18,179000
Ohio,65+,1973700
Ohio,Adults 19-25,964100
Ohio,Adults 26-34,1355100
Ohio,Adults 35-54,2819400
Ohio,Adults 55-64,1588300
Ohio,Children 0-18,2650800
Oklahoma,65+,610700
Oklahoma,Adults 19-25,349100
Oklahoma,Adults 26-34,471600
Oklahoma,Adults 35-54,927700
Oklahoma,Adults 55-64,487600
Oklahoma,Children 0-18,980100
Oregon,65+,757100
Oregon,Adults 19-25,347500
Oregon,Adults 26-34,529800
Oregon,Adults 35-54,1078300
Oregon,Adults 55-64,532400
Oregon,Children 0-18,883800
Pennsylvania,65+,2311300
Pennsylvania,Adults 19-25,976800
Pennsylvania,Adults 26-34,1520200
Pennsylvania,Adults 35-54,3071300
Pennsylvania,Adults 55-64,1790900
Pennsylvania,Children 0-18,2707100
Rhode Island,65+,180800
Rhode Island,Adults 19-25,89100
Rhode Island,Adults 26-34,129300
Rhode Island,Adults 35-54,256900
Rhode Island,Adults 55-64,150800
Rhode Island,Children 0-18,210100
South Carolina,65+,918700
South Carolina,Adults 19-25,409100
South Carolina,Adults 26-34,578700
South Carolina,Adults 35-54,1241500
South Carolina,Adults 55-64,689000
South Carolina,Children 0-18,1147200
South Dakota,65+,148200
South Dakota,Adults 19-25,70100
South Dakota,Adults 26-34,98100
South Dakota,Adults 35-54,199900
South Dakota,Adults 55-64,115900
South Dakota,Children 0-18,219100
Tennessee,65+,1108800
Tennessee,Adults 19-25,574000
Tennessee,Adults 26-34,820300
Tennessee,Adults 35-54,1687000
Tennessee,Adults 55-64,890200
Tennessee,Children 0-18,1560800
Texas,65+,3654400
Texas,Adults 19-25,2647900
Texas,Adults 26-34,3687100
Texas,Adults 35-54,7375600
Texas,Adults 55-64,3233100
Texas,Children 0-18,7688200
Utah,65+,361200
Utah,Adults 19-25,342700
Utah,Adults 26-34,414800
Utah,Adults 35-54,764200
Utah,Adults 55-64,300000
Utah,Children 0-18,971200
Vermont,65+,121800
Vermont,Adults 19-25,51200
Vermont,Adults 26-34,66400
Vermont,Adults 35-54,147900
Vermont,Adults 55-64,94400
Vermont,Children 0-18,116400
Virginia,65+,1332800
Virginia,Adults 19-25,684600
Virginia,Adults 26-34,981000
Virginia,Adults 35-54,2165300
Virginia,Adults 55-64,1104300
Virginia,Children 0-18,1917000
Washington,65+,1187800
Washington,Adults 19-25,619900
Washington,Adults 26-34,1028200
Washington,Adults 35-54,1926900
Washington,Adults 55-64,954000
Washington,Children 0-18,1707100
West Virginia,65+,357200
West Virginia,Adults 19-25,140600
West Virginia,Adults 26-34,182300
West Virginia,Adults 35-54,437000
West Virginia,Adults 55-64,254000
West Virginia,Children 0-18,368000
Wisconsin,65+,991400
Wisconsin,Adults 19-25,483000
Wisconsin,Adults 26-34,658400
Wisconsin,Adults 35-54,1423000
Wisconsin,Adults 55-64,813700
Wisconsin,Children 0-18,1307500
Wyoming,65+,96800
Wyoming,Adults 19-25,46800
Wyoming,Adults 26-34,65800
Wyoming,Adults 35-54,136100
Wyoming,Adults 55-64,75700
Wyoming,Children 0-18,141500
